system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
141,Built,0.34,38,0.0,26.38,1.89,1862.66,36.97,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.47922083821342,52.46610416900066]}"
142,Built,0.33,39,0.0,26.38,1.89,1862.66,36.97,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.488203991054617,52.46610416900066]}"
143,Built,0.26,38,0.0,26.38,1.89,1862.66,36.97,0.47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.497187143895811,52.46610416900066]}"
144,Built,0.19,36,0.0,26.38,1.89,1866.74,36.97,0.35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.506170296737006,52.46610416900066]}"
145,Built,0.25,38,0.0,26.38,1.89,1870.2,36.97,0.44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.515153449578202,52.46610416900066]}"
146,Trees,0.37,40,0.0,26.38,1.89,1872.45,36.97,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.524136602419397,52.46610416900066]}"
147,Trees,0.49,39,0.0,26.38,1.89,1878.62,36.97,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.533119755260591,52.46610416900066]}"
148,Trees,0.51,41,0.0,25.04,2.58,0.0,36.97,0.78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.542102908101787,52.46610416900066]}"
149,Trees,0.47,41,0.0,25.04,2.58,0.0,39.44,0.79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.551086060942982,52.46610416900066]}"
150,Trees,0.48,43,0.0,25.04,2.58,0.0,39.44,0.77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.560069213784178,52.46610416900066]}"
151,Built,0.38,38,0.0,25.04,2.58,0.0,39.44,0.63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.569052366625373,52.46610416900066]}"
152,Built,0.34,40,332.18,25.04,2.58,0.0,39.44,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.578035519466567,52.46610416900066]}"
